Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
30.414899349212646	0	-334.161386254	147.30510675	131.95062195	-651.191096799	115.982608696	59.0649334564	40014	40014
59.31503224372864	1	-269.356137181	139.958322188	136.53054549	-716.554532473	113.789772727	36.1914277262	40054	80068
89.85766577720642	2	-214.342222219	105.090004633	130.150436904	-549.309938482	116.950437318	35.0812533491	40114	120182
121.0036678314209	3	-190.167486863	109.936342762	209.066941169	-514.103126478	117.982352941	57.1624592491	40114	160296
150.1559453010559	4	-173.240307004	108.574841247	197.058459784	-570.653536757	114.301994302	33.1586013732	40120	200416
181.63070464134216	5	-157.280038968	91.6843608582	201.252713284	-475.275146442	114.796561605	57.7650749591	40064	240480
211.56157279014587	6	-146.928923756	90.3642083865	213.679992812	-431.538307487	116.578488372	61.5480026506	40103	280583
243.3761806488037	7	-141.045876919	96.6308096902	227.839968713	-425.571927314	124.431677019	83.6363579015	40067	320650
274.6240110397339	8	-130.998802515	75.3865935873	166.649895962	-404.073702162	123.611111111	76.4317051724	40050	360700
307.0463011264801	9	-114.0911433	87.8863264382	201.467467808	-425.555278572	131.618421053	92.7717866461	40012	400712
341.0479278564453	10	-87.3031890565	100.616326275	243.731877539	-421.313724459	132.481848185	79.1860750953	40142	440854
374.58785104751587	11	-95.6669770918	91.3153220473	193.583825544	-340.708671253	141.4204947	63.9404803052	40022	480876
413.8248550891876	12	-68.293035261	105.05509567	199.763147464	-367.468447889	164.012295082	125.137743175	40019	520895
452.74488496780396	13	-51.9648317982	117.052183891	251.997364914	-396.004553974	171.495726496	108.556308909	40130	561025
497.58138942718506	14	-39.3116038733	119.301876112	207.401902569	-491.365620208	210.497382199	184.383786931	40205	601230
539.9533100128174	15	-38.7757807327	121.196935036	228.114510125	-470.33624736	207.512690355	134.219254262	40880	642110
588.4082899093628	16	-12.2658562666	132.880815688	214.664215194	-392.582242406	261.792207792	205.986939295	40316	682426
643.8467335700989	17	-20.5063950788	115.514482502	206.99930449	-359.00437605	288.063380282	238.926007015	40905	723331
693.4304072856903	18	-24.3892247344	129.671193375	207.722348256	-372.350497197	288.352517986	191.618170363	40081	763412
749.9262568950653	19	-0.410216294166	141.427638096	217.874995953	-357.295328338	348.5	259.10371043	40426	803838
813.8256402015686	20	6.99121310549	129.255579718	223.762322684	-206.355094946	382.037383178	291.287439541	40878	844716
883.1781969070435	21	10.9454703199	137.169993377	219.545665924	-343.685513694	465.209302326	308.21512105	40008	884724
944.112795829773	22	20.363417071	147.171141326	216.344409065	-385.164324096	423.094736842	283.557367209	40194	924918
1015.2488932609558	23	29.1243688442	118.853630482	221.761375153	-302.609545045	500.4875	335.589928102	40039	964957
1079.0188720226288	24	63.5154899526	129.954663434	256.691404914	-418.333124135	451.488888889	304.507990935	40634	1005591
1140.989824771881	25	70.3434032618	121.136125773	238.95277307	-280.508732446	391.019417476	286.520741911	40275	1045866
1204.8859159946442	26	70.5769390348	121.527058477	220.771725497	-308.866343731	488.951219512	321.466491158	40094	1085960
1268.7188272476196	27	87.144354446	119.238104875	237.240541324	-256.321152992	429.284210526	293.93596378	40782	1126742
1329.5367634296417	28	76.0405057605	131.242428334	234.276738537	-334.432421876	425.208333333	294.246421554	40820	1167562
1389.5846042633057	29	88.3355681372	120.160943125	238.7783864	-334.478131669	450.04494382	315.591754144	40054	1207616
1449.9586324691772	30	82.0798439884	113.463224382	241.306184355	-247.537699973	458.318181818	321.757232929	40332	1247948
1509.7752041816711	31	88.7929417739	101.16973273	220.379117901	-95.0958610939	479.261904762	333.885499302	40258	1288206
1567.7076077461243	32	77.5873327603	124.497393371	226.249356574	-352.532760458	412.670103093	311.994076128	40029	1328235
1625.5790846347809	33	86.581975423	112.707267879	232.158520475	-255.39295987	429.840425532	327.407492317	40405	1368640
1693.607647895813	34	97.4563731174	107.555053475	238.324081792	-108.298360388	419.030927835	341.474650871	40646	1409286
1752.0281467437744	35	55.0071808116	141.551350633	239.593994304	-522.871065885	404.242424242	334.286035233	40020	1449306
1809.1395783424377	36	90.1985114374	96.9934167094	218.297004173	-110.1698368	418.020833333	323.305195699	40130	1489436
1861.995676279068	37	89.7183779521	106.604450858	227.525484744	-266.646882151	365.263636364	292.908477089	40179	1529615
1916.213140964508	38	101.875073239	114.19179521	231.936566888	-300.733910185	360.849557522	286.504234667	40776	1570391
