Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
25.79155206680298	0	-47.71466627765064	37.56758826630828	54.118237493327655	-150.97451834937192	150.0	0.0	50100	50100
49.01890826225281	1	-40.47461967545287	31.763206189179066	41.04709877987082	-132.58666686872502	150.0	0.0	50100	100200
72.28783941268921	2	-33.804934840001074	30.6181510135397	56.13686025676998	-135.27503964678942	150.0	0.0	50100	150300
95.73060894012451	3	-31.626050955277453	28.352077994654916	46.68515869588016	-144.33334152390123	150.0	0.0	50100	200400
118.8815050125122	4	-25.30438840887894	25.526026750086128	47.23128125243936	-111.11902992043576	150.0	0.0	50100	250500
142.03472018241882	5	-23.443671447999506	25.547324537658298	43.82918286970411	-102.298783371192	150.0	0.0	50100	300600
165.96726298332214	6	-21.862890627721917	23.929092198513708	55.297982481918076	-90.4389221766386	150.0	0.0	50100	350700
189.06564903259277	7	-21.463252325383067	22.110731848514693	49.5303995329211	-108.22358287422776	150.0	0.0	50100	400800
212.46315622329712	8	-20.228225559544942	19.574732070338293	46.985809587788985	-73.63475117869578	150.0	0.0	50100	450900
235.79334950447083	9	-17.569057097207505	22.41584536489124	50.641630999959155	-131.60296244259246	150.0	0.0	50100	501000
258.7974536418915	10	-18.441358954432484	24.214010897893587	74.78918204578817	-98.04397206676761	150.0	0.0	50100	551100
282.10221815109253	11	-14.234111240057768	22.10989233566661	41.02523719323753	-104.0007370783158	150.0	0.0	50100	601200
304.97579550743103	12	-12.853656422156124	23.887191359952215	57.93213023314322	-122.32580490111135	150.0	0.0	50100	651300
329.19918847084045	13	-12.189162897346685	23.65719962266206	49.87308079361282	-105.86757277041347	150.0	0.0	50100	701400
353.5232791900635	14	-9.099227101294332	24.430182283411657	61.18462656004105	-93.33694512089482	150.0	0.0	50100	751500
377.26586151123047	15	-7.4616084913391845	22.898758645497026	51.98141100047218	-94.1613593218498	150.0	0.0	50100	801600
400.709668636322	16	-6.954642490528628	23.29887974709674	60.75373458211316	-82.92861816605496	150.0	0.0	50100	851700
423.425585269928	17	-5.169035580301659	22.958029350635506	66.8810766610824	-87.90945811989747	150.0	0.0	50100	901800
446.4468243122101	18	-5.046206816390466	22.08996886802486	54.9497767754488	-99.55298852555536	150.0	0.0	50100	951900
469.13473653793335	19	-4.899914949996523	24.340108640953403	88.48123366429961	-105.10996844184875	150.0	0.0	50100	1002000
492.0529456138611	20	-3.6640441952442293	23.2984667419579	68.98522829271779	-126.61476044719309	150.0	0.0	50100	1052100
514.8997852802277	21	-5.572423458358919	24.27725726910773	58.33226497767446	-124.89574947969876	150.0	0.0	50100	1102200
537.8920311927795	22	-2.750537605722266	19.84735600758201	52.319029114402625	-78.2742590355063	150.0	0.0	50100	1152300
560.7871284484863	23	-3.2919658079733263	23.346733474722644	61.45145190062956	-83.64319633793582	150.0	0.0	50100	1202400
583.6523821353912	24	-3.748717378287504	21.697221552945305	70.45732491633686	-74.70382620549995	150.0	0.0	50100	1252500
606.8313982486725	25	-5.309668950996209	22.41064580739141	58.94664314177727	-127.56975174088758	150.0	0.0	50100	1302600
630.8083810806274	26	-3.7559013638831353	21.98488977056101	64.97331218088969	-103.00929542600878	150.0	0.0	50100	1352700
653.7633354663849	27	-5.10489813189456	22.328985330279597	68.2065243951065	-103.95262700945008	150.0	0.0	50100	1402800
677.7092685699463	28	-5.583967832150502	22.818228568342867	77.41652269372945	-84.6340071766219	150.0	0.0	50100	1452900
701.3311893939972	29	-4.430645922576041	22.39715954848744	62.65758605978398	-88.30474344902267	150.0	0.0	50100	1503000
724.6809468269348	30	-5.983394602825796	22.1286923508007	56.00457916316996	-134.24696583839176	150.0	0.0	50100	1553100
747.5505628585815	31	-2.641783859077897	20.648997902532265	44.333622002559174	-76.50987354199019	150.0	0.0	50100	1603200
770.7771770954132	32	-3.5269298624710057	21.408814582741428	52.07667768123597	-89.93682052289725	150.0	0.0	50100	1653300
794.3096926212311	33	-2.5190132125461786	20.878201862973537	62.716434479463835	-68.11157514194912	150.0	0.0	50100	1703400
817.6853318214417	34	2.6118438157552495	20.443819417055177	61.949777691775466	-89.44733759530382	150.0	0.0	50100	1753500
840.4723014831543	35	-1.735652612443579	20.942407336012643	43.92393593485511	-100.85718779710567	150.0	0.0	50100	1803600
863.7159111499786	36	2.5743419483460466	19.89728503012534	65.2107463841585	-78.08030135043103	150.0	0.0	50100	1853700
888.1012723445892	37	-0.8287708057434139	19.191914418129947	54.80225597792578	-68.21763606105884	150.0	0.0	50100	1903800
911.7719051837921	38	0.6827821715899282	19.733496496177185	59.42561496096836	-85.39000900823632	150.0	0.0	50100	1953900
936.0889282226562	39	1.4731557138884341	18.626242182278677	54.68809484628551	-68.52270158645807	150.0	0.0	50100	2004000
959.4723091125488	40	0.8315458153543483	20.287558634392642	75.38300911044196	-90.47604071966343	150.0	0.0	50100	2054100
983.3657922744751	41	1.1271126251988177	21.389413386766776	72.00883118283495	-69.434648455114	150.0	0.0	50100	2104200
1006.9891548156738	42	3.601142179841612	20.401280549612512	82.15798024293063	-87.20586355602627	150.0	0.0	50100	2154300
1030.322722196579	43	3.292717248245368	18.387821641088365	53.80775140905335	-80.57492064052204	150.0	0.0	50100	2204400
1054.1173043251038	44	1.8157560246515634	19.001831683954325	51.84877936969757	-79.31799712715316	150.0	0.0	50100	2254500
1076.9942212104797	45	2.445602873501692	20.20640848609238	69.92761026160152	-57.26336397608161	150.0	0.0	50100	2304600
