Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1092.4430203437805	23	20.1361579396	119.964762715	217.226778841	-167.537538749	637.484375	310.300408485	40799	964188
1166.767051935196	24	8.95510893059	130.247937269	218.417610237	-366.827187235	638.142857143	311.193190501	40203	1004391
1241.9483399391174	25	29.9516969346	124.360771926	223.282039003	-342.269122597	597.402985075	320.123812787	40026	1044417
1310.1394138336182	26	76.094296197	111.183719936	238.803237663	-121.940337014	527.934210526	307.963315293	40123	1084540
1379.1851947307587	27	68.2937823387	122.070719514	221.44430753	-184.312114477	471.435294118	320.737842264	40072	1124612
1442.8722269535065	28	48.3469100414	136.386648156	242.36116487	-326.409706122	471.270588235	309.025085151	40058	1164670
1506.6647882461548	29	87.1596532128	120.005414628	223.816662637	-150.803542102	410.275510204	300.271672249	40207	1204877
1568.2349586486816	30	92.1246990082	120.081249846	243.81636618	-324.116835593	422.96875	296.053431732	40605	1245482
1628.1172795295715	31	100.950930019	114.308854579	253.766717284	-103.960545347	355.787610619	290.162372954	40204	1285686
1680.222533941269	32	115.999779241	108.027348391	248.022053383	-201.45891326	322.528	234.97143915	40316	1326002
1728.0644617080688	33	131.454882523	95.7614286843	237.59574999	-163.072872585	289.050359712	208.574584205	40178	1366180
1777.8148775100708	34	126.936011834	97.31458658	242.08818422	-91.9589804467	294.602941176	211.270640461	40066	1406246
1826.3567960262299	35	127.916553109	98.8578257309	246.777703579	-91.3567403874	280.06993007	189.673980519	40050	1446296
1874.640582561493	36	119.850901889	102.682097763	258.693346834	-199.509606575	278.083333333	173.141299874	40044	1486340
1922.6985132694244	37	139.928690199	91.905086349	230.692783022	-183.036125046	272.598639456	172.126937018	40072	1526412
1972.273376941681	38	154.335301525	83.7520506089	243.466266945	-79.5662917593	272.666666667	185.1254156	40082	1566494
2021.4934935569763	39	151.915132663	85.5363120245	253.772447305	-138.299783445	284.822695035	169.691346156	40160	1606654
2067.8543090820312	40	147.762596871	89.1837948779	251.498816381	-290.459395542	263.164473684	163.860717655	40001	1646655
2120.585915327072	41	148.076101011	81.059113492	240.218060008	-72.0906394518	293.408759124	207.724710961	40197	1686852
2170.2435314655304	42	161.791104155	72.027142687	264.358709539	-79.8283711795	269.134228188	173.394056303	40101	1726953
2218.2835726737976	43	156.926221204	82.0478671464	249.178853454	-103.698465777	277.875	196.314050942	40014	1766967
2268.3087770938873	44	150.029042007	88.0098227656	252.511818581	-99.8293085039	267.073333333	189.143899247	40061	1807028
2317.9877235889435	45	154.44471878	83.4020039023	244.197266242	-86.0835276783	276.896551724	211.694338013	40150	1847178
